user_id,persona,t1,t2,t3,t4
u001,ml,0.3983,0.6792,0.6754,0.6754
u002,robotics,0.4461,0.7603,0.8779,0.7532
u003,web,0.7036,0.9735,1.0035,1.0035
u004,data_science,0.4788,0.9678,0.8706,0.8706
u005,security,0.6222,0.7047,0.8815,0.8815
u006,ml,0.4666,1.0231,1.061,1.061
u007,robotics,0.6682,0.8344,0.8167,0.8167
u008,web,0.6385,0.9044,1.0062,0.946
u009,data_science,0.4177,0.9894,0.9058,0.9058
u010,security,0.5737,0.8439,0.8439,0.8439
u011,ml,0.3983,0.6792,0.6754,0.6754
u012,robotics,0.4461,0.7603,0.7532,0.7532
u013,web,0.6385,0.9044,1.0062,0.9252
u014,data_science,0.4177,0.9894,0.9058,0.9058
u015,security,0.5737,0.8439,0.8439,0.8439
u016,ml,0.4666,1.0231,1.061,1.061
u017,robotics,0.567,0.7603,0.7532,0.7532
u018,web,0.6385,0.9044,1.0062,0.9252
u019,data_science,0.523,0.5688,0.6193,0.5688
u020,security,0.6505,0.8835,0.9111,0.9111
u021,ml,0.4821,0.8107,0.8927,1.0033
u022,robotics,0.6682,0.813,0.8167,0.8167
u023,web,0.6667,0.9044,1.0062,0.9964
u024,data_science,0.523,0.5688,0.5688,0.5688
u025,security,0.5737,0.8535,0.8439,0.8439
u026,ml,0.4821,0.8341,0.8927,1.0033
u027,robotics,0.6682,0.813,0.8167,0.6685
u028,web,0.6385,0.9044,1.0062,0.9252
u029,data_science,0.4177,0.9894,0.914,0.9058
u030,security,0.5737,0.8439,0.8439,0.8439
u031,ml,0.5324,0.6792,0.808,0.8113
u032,robotics,0.4927,0.7603,0.7532,0.7532
u033,web,0.6385,0.9044,1.0062,0.9252
u034,data_science,0.523,0.6535,0.5688,0.5688
u035,security,0.6505,0.8835,0.9111,0.9111
u036,ml,0.3983,0.6792,0.6754,0.5335
u037,robotics,0.6682,0.813,0.8167,0.8167
u038,web,0.6961,0.9735,1.0035,1.0035
u039,data_science,0.4836,0.917,0.8752,0.8752
u040,security,0.6505,0.8835,0.9111,0.9379
u041,ml,0.4821,0.8107,0.8927,1.0033
u042,robotics,0.6682,0.813,0.8167,0.8167
u043,web,0.7938,0.9044,1.0062,0.9252
u044,data_science,0.4848,0.9894,0.9058,0.9058
u045,security,0.6505,0.8835,0.9111,0.9468
u046,ml,0.3983,0.6792,0.6754,0.6754
u047,robotics,0.6682,0.813,0.8167,0.8167
u048,web,0.6961,0.9735,1.0035,1.0035
u049,data_science,0.4418,1.0369,0.9058,0.9058
u050,security,0.5737,0.8439,0.8439,0.8439
