user_id,persona,t1,t2,t3,t4
u001,ml,0.1068,0.2037,0.276,0.3375
u002,robotics,0.1214,0.2421,0.3235,0.3625
u003,web,0.1647,0.288,0.3527,0.4346
u004,data_science,0.1393,0.2472,0.3338,0.4057
u005,security,0.1482,0.2638,0.3727,0.4506
u006,ml,0.105,0.256,0.3693,0.4632
u007,robotics,0.1716,0.2737,0.3345,0.4048
u008,web,0.1636,0.2848,0.3667,0.3771
u009,data_science,0.1155,0.25,0.3255,0.4038
u010,security,0.1628,0.2901,0.3778,0.4424
u011,ml,0.1068,0.2037,0.276,0.3375
u012,robotics,0.1214,0.2421,0.2892,0.3545
u013,web,0.1636,0.2848,0.3667,0.3864
u014,data_science,0.1155,0.25,0.3255,0.4038
u015,security,0.1628,0.2901,0.3778,0.4424
u016,ml,0.105,0.256,0.3693,0.4632
u017,robotics,0.1484,0.2538,0.2951,0.3582
u018,web,0.1636,0.2848,0.3667,0.3864
u019,data_science,0.1258,0.1962,0.2615,0.2985
u020,security,0.1763,0.2733,0.3597,0.4369
u021,ml,0.1363,0.2512,0.3399,0.4091
u022,robotics,0.1716,0.278,0.3413,0.4099
u023,web,0.1669,0.2889,0.3707,0.387
u024,data_science,0.1258,0.1962,0.2554,0.2993
u025,security,0.1628,0.2816,0.3736,0.4397
u026,ml,0.1363,0.2583,0.3414,0.4098
u027,robotics,0.1716,0.278,0.3413,0.37
u028,web,0.1636,0.2848,0.3667,0.3864
u029,data_science,0.1155,0.25,0.3346,0.3913
u030,security,0.1628,0.2901,0.3778,0.4424
u031,ml,0.1263,0.21,0.3054,0.3706
u032,robotics,0.1274,0.2427,0.2892,0.3544
u033,web,0.1636,0.2848,0.3667,0.3864
u034,data_science,0.1258,0.2211,0.2581,0.2986
u035,security,0.1763,0.2733,0.3597,0.4369
u036,ml,0.1068,0.2037,0.276,0.294
u037,robotics,0.1716,0.278,0.3413,0.4099
u038,web,0.167,0.2907,0.3534,0.4343
u039,data_science,0.1132,0.2393,0.3164,0.3946
u040,security,0.1763,0.2733,0.3597,0.4413
u041,ml,0.1363,0.2512,0.3399,0.4091
u042,robotics,0.1716,0.278,0.3413,0.4099
u043,web,0.1974,0.2942,0.3714,0.3885
u044,data_science,0.1379,0.2581,0.3297,0.4069
u045,security,0.1763,0.2733,0.3597,0.4394
u046,ml,0.1068,0.2037,0.276,0.3375
u047,robotics,0.1716,0.278,0.3413,0.4099
u048,web,0.167,0.2907,0.3534,0.4343
u049,data_science,0.1196,0.2491,0.3175,0.3972
u050,security,0.1628,0.2901,0.3778,0.4424
