user_id,persona,t1,t2,t3,t4
u001,ml,0.1051,0.2368,0.282,0.378
u002,robotics,0.1185,0.2686,0.3413,0.4051
u003,web,0.1949,0.3747,0.4358,0.5864
u004,data_science,0.1279,0.3454,0.384,0.511
u005,security,0.17,0.294,0.4239,0.5516
u006,ml,0.1244,0.3691,0.4843,0.6367
u007,robotics,0.184,0.3207,0.3639,0.4852
u008,web,0.1749,0.3328,0.4241,0.4934
u009,data_science,0.1105,0.3498,0.3977,0.5288
u010,security,0.1555,0.3353,0.4172,0.5417
u011,ml,0.1051,0.2368,0.282,0.378
u012,robotics,0.1185,0.2686,0.2978,0.4035
u013,web,0.1749,0.3328,0.4241,0.4945
u014,data_science,0.1105,0.3498,0.3977,0.5288
u015,security,0.1555,0.3353,0.4172,0.5417
u016,ml,0.1244,0.3691,0.4843,0.6367
u017,robotics,0.1535,0.2789,0.3036,0.4114
u018,web,0.1749,0.3328,0.4241,0.4945
u019,data_science,0.1406,0.2102,0.2776,0.3479
u020,security,0.1786,0.328,0.4101,0.5439
u021,ml,0.1288,0.3012,0.3609,0.5149
u022,robotics,0.184,0.3139,0.3677,0.4889
u023,web,0.1835,0.3367,0.4294,0.5284
u024,data_science,0.1406,0.2102,0.2628,0.3489
u025,security,0.1555,0.3383,0.4158,0.5403
u026,ml,0.1288,0.3095,0.3621,0.5174
u027,robotics,0.184,0.3139,0.3677,0.4027
u028,web,0.1749,0.3328,0.4241,0.4945
u029,data_science,0.1105,0.3498,0.3908,0.5176
u030,security,0.1555,0.3353,0.4172,0.5417
u031,ml,0.1434,0.246,0.3365,0.4429
u032,robotics,0.1319,0.267,0.2968,0.4028
u033,web,0.1749,0.3328,0.4241,0.4945
u034,data_science,0.1406,0.2379,0.2621,0.3487
u035,security,0.1786,0.328,0.4101,0.5439
u036,ml,0.1051,0.2368,0.282,0.3045
u037,robotics,0.184,0.3139,0.3677,0.4889
u038,web,0.1926,0.3774,0.435,0.5856
u039,data_science,0.1293,0.3236,0.3814,0.5081
u040,security,0.1786,0.328,0.4101,0.5452
u041,ml,0.1288,0.3012,0.3609,0.5149
u042,robotics,0.184,0.3139,0.3677,0.4889
u043,web,0.2234,0.3365,0.4324,0.5025
u044,data_science,0.1296,0.3559,0.4024,0.5346
u045,security,0.1786,0.328,0.4101,0.5492
u046,ml,0.1051,0.2368,0.282,0.378
u047,robotics,0.184,0.3139,0.3677,0.4889
u048,web,0.1926,0.3774,0.435,0.5856
u049,data_science,0.1173,0.3649,0.3912,0.5233
u050,security,0.1555,0.3353,0.4172,0.5417
